Date,Venue,Group,Participants,Volunteers,"CO2 (kg)","Weight (kg)",Fixed,Repairable,Dead,"Hours Volunteered"
12/09/2021,"Camden New Town Community Festival",,9,7,0,0,0,0,0,30
12/09/2021,"Repair Café Tubize",,0,1,0,0,0,0,0,12
12/09/2021,"Repair Café de la rentrée - Grivegnée",,0,1,0,0,0,0,0,12
12/09/2021,"Repair Café Fernelmont",,0,1,0,0,0,0,0,12
12/09/2021,"Repair Café Orp Le Grand",,0,1,0,0,0,0,0,12
11/09/2021,"Repair Café de Marche",,0,1,0,0,0,0,0,12
11/09/2021,"Make Gosport",,0,2,0,0,0,0,0,15
11/09/2021,"Inauguration du Repair Café de Verlaine",,0,1,0,0,0,0,0,12
11/09/2021,"Repair Café Wavre",,0,1,0,0,0,0,0,12
11/09/2021,Weston,,0,1,0,0,0,0,0,12
11/09/2021,Farmborough,,0,1,0,0,0,0,0,12
11/09/2021,"REPAIR CAFE WELKENRAEDT",,0,1,0,0,0,0,0,12
11/09/2021,"Cirencester Repair Cafe",,0,1,0,0,0,0,0,12
11/09/2021,"Repair Café Namur Confluence",,0,1,0,0,0,0,0,12
10/09/2021,"Repair Café chastre",,0,1,0,0,0,0,0,12
09/09/2021,"Repair café (Régie des Quartiers de Herstal)",,0,1,0,0,0,0,0,12
09/09/2021,"Repair Café Anderlecht het retourrrr",,6,2,0,0,0,0,0,15
09/09/2021,"Repair Café de Doische",,0,1,0,0,0,0,0,12
09/09/2021,"27ème Repair Café Mouscron",,0,1,0,0,0,0,0,12
08/09/2021,"Repair Café / Donnerie de Dison",,0,1,0,0,0,0,0,12
07/09/2021,"Repair Café des Marolles",,14,7,0,0,0,0,0,30
05/09/2021,"Le RCF au parc Duden !",,4,2,0,0,0,0,0,15
05/09/2021,"Reprise du Repair Cafe de Waterloo le dimanche 5 septembre 2021",,0,1,0,0,0,0,0,12
05/09/2021,"Repair Café Stavelot",,0,1,0,0,0,0,0,12
05/09/2021,"Repair Café Ixelles - Elzenhof",,0,1,0,0,0,0,0,12
05/09/2021,"Repair Guinguette Emile - Parc Duden",,0,2,0,0,0,0,0,15
04/09/2021,"Repair Café La Bruyère",,0,1,0,0,0,0,0,12
04/09/2021,"Repair Café - Gesves",,0,1,0,0,0,0,0,12
04/09/2021,Southdown,,0,1,0,0,0,0,0,12
04/09/2021,"High Littleton",,0,1,0,0,0,0,0,12
04/09/2021,Ellezelles,,0,1,0,0,0,0,0,12
04/09/2021,"Repair Café Sombreffe",,0,1,0,0,0,0,0,12
04/09/2021,"Saint Brelade Repair Cafe",,10,4,0,0,0,0,0,21
03/09/2021,"Marlow Repair Café",,0,1,0,0,0,0,0,12
02/09/2021,"Repair café (Régie des Quartiers de Herstal)",,0,1,0,0,0,0,0,12
01/09/2021,"Belsize Library",,13,9,0,0,0,0,0,36
28/08/2021,"Le Monty- Genappe",,19,5,0,0,0,0,0,24
28/08/2021,Peasedown,,0,1,0,0,0,0,0,12
28/08/2021,"Repair café VELOS - Complexe sportif de Frasnes-lez-Gosselies",,0,1,0,0,0,0,0,12
28/08/2021,"Repair Café Huy Rive Gauche",,0,1,0,0,0,0,0,12
27/08/2021,"Repair Café Chastre",,0,1,0,0,0,0,0,12
26/08/2021,"Repair café (Régie des Quartiers de Herstal)",,0,1,0,0,0,0,0,12
22/08/2021,"Repair Seneffe",,0,1,0,0,0,0,0,12
22/08/2021,"RC Ittre",,0,1,0,0,0,0,0,12
22/08/2021,"Sunday Repair @STPLN",,5,5,0,0,0,0,0,24
22/08/2021,"Réouverture du repair café",,0,1,0,0,0,0,0,12
22/08/2021,"RC Molenbaix 22/08/2021",,0,1,0,0,0,0,0,12
22/08/2021,"Bar Bricolage",,0,1,0,0,0,0,0,12
22/08/2021,"Bar Bricolage",,18,5,0,0,0,0,0,24
21/08/2021,"Repair Café Bertrix",,4,5,0,0,0,0,0,24
21/08/2021,"Chesterfield Repair Cafe",,0,1,0,0,0,0,0,12
21/08/2021,"Nurture Nest",,0,1,0,0,0,0,0,12
21/08/2021,"Repair Café Mettet",,0,1,0,0,0,0,0,12
21/08/2021,Larkhall,,0,1,0,0,0,0,0,12
21/08/2021,"ReStore - Habitat for Humanity",,0,1,0,0,0,0,0,12
19/08/2021,"Repair café (Régie des Quartiers de Herstal)",,0,1,0,0,0,0,0,12
17/08/2021,"Repair Guinguette Maurice - Parc du Cinquantenaire",,0,1,0,0,0,0,0,12
16/08/2021,"Repair Café Basse-Enhaive",,0,1,0,0,0,0,0,12
15/08/2021,"Ateliers Repair Café Woluwé",,0,1,0,0,0,0,0,12
14/08/2021,"Repair Café HAVELANGE",,0,1,0,0,0,0,0,12
14/08/2021,"Repair Café Namur Confluence",,0,1,0,0,0,0,0,12
14/08/2021,Weston,,0,1,0,0,0,0,0,12
14/08/2021,Farmborough,,0,1,0,0,0,0,0,12
14/08/2021,"Make Gosport",,4,6,0,0,0,0,0,27
14/08/2021,"Cirencester Repair Cafe",,0,1,0,0,0,0,0,12
12/08/2021,"Repair café (Régie des Quartiers de Herstal)",,0,1,0,0,0,0,0,12
10/08/2021,"Repair Café Flawinne",,0,1,0,0,0,0,0,12
08/08/2021,"Repair Café Tournai",,0,1,0,0,0,0,0,12
08/08/2021,"Repair Café Saint-Nicolas",,0,1,0,0,0,0,0,12
08/08/2021,"Repair Café Tubize",,0,1,0,0,0,0,0,12
08/08/2021,"Repair Guinguette Jeanne - Rouge-Cloître",,0,1,0,0,0,0,0,12
07/08/2021,Southdown,,0,1,0,0,0,0,0,12
07/08/2021,"Atelier vélo - Re-Cycle Jodoigne",,0,1,0,0,0,0,0,12
07/08/2021,"Repair Café de Floreffe",,0,1,0,0,0,0,0,12
05/08/2021,"Repair café (Régie des Quartiers de Herstal)",,0,1,0,0,0,0,0,12
01/08/2021,"Repair Café Péruwelz",,0,1,0,0,0,0,0,12
29/07/2021,"Repair café (Régie des Quartiers de Herstal)",,0,1,0,0,0,0,0,12
25/07/2021,"Repair Seneffe",,0,1,0,0,0,0,0,12
25/07/2021,"Repair Guinguette Fabiola - Parc du Roi Baudoin",,0,2,0,0,0,0,0,15
24/07/2021,"Headingley HEART Centre",,20,6,0,0,0,0,0,27
24/07/2021,"Restart Party: Hackney Fixers",,16,11,0,0,0,0,0,42
24/07/2021,Peasedown,,0,1,0,0,0,0,0,12
24/07/2021,Larkhall,,0,1,0,0,0,0,0,12
22/07/2021,"Repair café (Régie des Quartiers de Herstal)",,0,1,0,0,0,0,0,12
20/07/2021,"Due anni di Restart Cafè in modalità covid",,0,2,0,0,0,0,0,15
18/07/2021,"Repair Café Lessines",,0,1,0,0,0,0,0,12
18/07/2021,"Restart Party a Conserva.Mi",,7,5,0,0,0,0,0,24
17/07/2021,"Chesterfield Repair Cafe",,16,6,0,0,0,0,0,27
17/07/2021,"ReStore, Habitat for Humanity,",,34,13,0,0,0,0,0,48
17/07/2021,"Buckland United Reformed Church",,13,7,0,0,0,0,0,30
17/07/2021,Tooting,,19,5,0,0,0,0,0,24
17/07/2021,"The Community Centre",,0,1,0,0,0,0,0,12
16/07/2021,"Cafe Repair Barò de Viver, Sinèrgics",,0,1,0,0,0,0,0,12
15/07/2021,"Repair café (Régie des Quartiers de Herstal)",,0,1,0,0,0,0,0,12
15/07/2021,"Repair Café Flawinne",,0,1,0,0,0,0,0,12
13/07/2021,"Repair Café Flawinne",,0,1,0,0,0,0,0,12
13/07/2021,"Repair Guinguette Gisèle  - Abbaye de La Cambre",,0,3,0,0,0,0,0,18
11/07/2021,"Repair Café Tournai",,0,1,0,0,0,0,0,12
11/07/2021,"Repair Cafe Tubize",,8,1,0,0,0,0,0,12
11/07/2021,"Repair Café Redu",,0,1,0,0,0,0,0,12
11/07/2021,"Repair Café de Grivegnée - session estivale",,0,1,0,0,0,0,0,12
10/07/2021,Weston,,0,1,0,0,0,0,0,12
10/07/2021,Farmborough,,0,1,0,0,0,0,0,12
10/07/2021,"Cirencester Repair Cafe",,0,1,0,0,0,0,0,12
08/07/2021,"Repair café Made in Fedasil",,0,1,0,0,0,0,0,12
04/07/2021,"Repair Café Péruwelz",,0,1,0,0,0,0,0,12
04/07/2021,"Repair Café Annevoie",,0,1,0,0,0,0,0,12
04/07/2021,"Repair Café Orp Le Grand",,0,1,0,0,0,0,0,12
03/07/2021,"Gesves - La Pichelotte",,0,1,0,0,0,0,0,12
03/07/2021,"Marlow Repair Café",,0,1,0,0,0,0,0,12
03/07/2021,"Make Gosport",,5,6,0,0,0,0,0,27
02/07/2021,"Centre Cívic Besòs",,0,1,0,0,0,0,0,12
30/06/2021,"Make Gosport",,0,1,0,0,0,0,0,12
29/06/2021,"Left Bank, Cardigan Road",,9,7,0,0,0,0,0,30
29/06/2021,"Mobile Social Congress",,0,1,0,0,0,0,0,12
27/06/2021,"RepairCafé Sart Jalhay Solwaster",,0,1,0,0,0,0,0,12
27/06/2021,"Repair Café Saint-Nicolas",,0,1,0,0,0,0,0,12
27/06/2021,"Repair Guinguette Henri - Parc Georges-Henri",,0,1,0,0,0,0,0,12
27/06/2021,"Repair Café La Bruyère",,0,1,0,0,0,0,0,12
26/06/2021,"Repair Café Asty-Moulin et Namur Confluence",,0,1,0,0,0,0,0,12
26/06/2021,"Spécial BLODOTHON à Akpro-Missérété, au siège de L'ONG Voix et Actions Citoyennes",,0,1,0,0,0,0,0,12
26/06/2021,"Repair Café Annevoie",,0,1,0,0,0,0,0,12
26/06/2021,"Repair Café Virton",,0,1,0,0,0,0,0,12
21/06/2021,"Repair Café Basse-Enhaive",,0,2,0,0,0,0,0,15
20/06/2021,"Repair Café Seneffe",,0,2,0,0,0,0,0,15
20/06/2021,"REPAIR CAFE BERCHEM JUIN",,0,1,0,0,0,0,0,12
20/06/2021,"Repair Café Rhode-Saint-Genèse",,0,1,0,0,0,0,0,12
20/06/2021,"Repair café de chaudfontaine",,0,1,0,0,0,0,0,12
20/06/2021,"Repair Café de Saint-Hubert﻿",,0,1,0,0,0,0,0,12
19/06/2021,"Chesterfield Repair Cafe",,17,6,0,0,0,0,0,27
19/06/2021,"Repair Café de Verviers",,0,2,0,0,0,0,0,15
19/06/2021,"Curborough Community Centre,",,0,1,0,0,0,0,0,12
19/06/2021,"Buckland United Reformed Church",,22,7,0,0,0,0,0,30
19/06/2021,"Repair Café de Modave",,0,1,0,0,0,0,0,12
19/06/2021,ReStore,,40,12,0,0,0,0,0,45
19/06/2021,Larkhall,,0,4,0,0,0,0,0,21
19/06/2021,"Fixit Intergalactic",,0,3,0,0,0,0,0,18
19/06/2021,"Repair Café HAVELANGE",,0,1,0,0,0,0,0,12
19/06/2021,"Repair café et zéro déchet - Vaux-sur-Sûre",,0,1,0,0,0,0,0,12
17/06/2021,"Repair Café de Doische",,0,1,0,0,0,0,0,12
17/06/2021,"Repair Café See-U",,0,1,0,0,0,0,0,12
16/06/2021,"Repair Guinguette André - Parc de Laeken",,0,1,0,0,0,0,0,12
13/06/2021,"REPAIR CAFE NEUPRE (Neuville domaine)",,0,2,0,0,0,0,0,15
13/06/2021,"Repair Café Tournai",,0,1,0,0,0,0,0,12
13/06/2021,"Redu Repair Café",,0,1,0,0,0,0,0,12
13/06/2021,"repair cafe Tubize",,8,8,0,0,0,0,0,33
12/06/2021,"Repair Café Frameries",,0,1,0,0,0,0,0,12
12/06/2021,Weston,,0,1,0,0,0,0,0,12
12/06/2021,"Repair Café Wavre",,0,1,0,0,0,0,0,12
12/06/2021,"Cirencester Repair Cafe",,0,1,0,0,0,0,0,12
12/06/2021,"Repair Café Genappe",,0,1,0,0,0,0,0,12
12/06/2021,"Repair Café gerpinnes",,0,1,0,0,0,0,0,12
11/06/2021,"Repair-café chastre",,0,1,0,0,0,0,0,12
